year,age,sex,cause,deaths
2005,46,Male,Alcohol-induced,506
2005,46,Male,Alzheimer disease,2
2005,46,Male,Cancer,1619
2005,46,Male,Chronic lower respiratory disease,103
2005,46,Male,Diabetes,227
2005,46,Male,Drug overdose,630
2005,46,Male,Heart disease,2008
2005,46,Male,Homicide,183
2005,46,Male,Other causes,2425
2005,46,Male,Other unintentional injury,694
2005,46,Male,Stroke,231
2005,46,Male,Suicide,500
2005,47,Female,Alcohol-induced,214
2005,47,Female,Alzheimer disease,2
2005,47,Female,Cancer,2036
2005,47,Female,Chronic lower respiratory disease,145
2005,47,Female,Diabetes,166
2005,47,Female,Drug overdose,453
2005,47,Female,Heart disease,853
2005,47,Female,Homicide,57
2005,47,Female,Other causes,1516
2005,47,Female,Other unintentional injury,238
2005,47,Female,Stroke,248
2005,47,Female,Suicide,110
2005,47,Male,Alcohol-induced,504
2005,47,Male,Alzheimer disease,1
2005,47,Male,Cancer,1792
2005,47,Male,Chronic lower respiratory disease,114
2005,47,Male,Diabetes,289
2005,47,Male,Drug overdose,669
2005,47,Male,Heart disease,2115
2005,47,Male,Homicide,155
2005,47,Male,Other causes,2657
2005,47,Male,Other unintentional injury,707
2005,47,Male,Stroke,263
2005,47,Male,Suicide,519
2005,48,Female,Alcohol-induced,192
2005,48,Female,Alzheimer disease,3
2005,48,Female,Cancer,2244
2005,48,Female,Chronic lower respiratory disease,157
2005,48,Female,Diabetes,183
2005,48,Female,Drug overdose,402
2005,48,Female,Heart disease,969
2005,48,Female,Homicide,53
2005,48,Female,Other causes,1645
2005,48,Female,Other unintentional injury,246
2005,48,Female,Stroke,297
2005,48,Female,Suicide,105
2005,48,Male,Alcohol-induced,537
2005,48,Male,Alzheimer disease,1
2005,48,Male,Cancer,2073
2005,48,Male,Chronic lower respiratory disease,177
2005,48,Male,Diabetes,331
2005,48,Male,Drug overdose,622
2005,48,Male,Heart disease,2357
2005,48,Male,Homicide,172
2005,48,Male,Other causes,2803
2005,48,Male,Other unintentional injury,659
2005,48,Male,Stroke,290
2005,48,Male,Suicide,507
2005,49,Female,Alcohol-induced,206
2005,49,Female,Alzheimer disease,5
2005,49,Female,Cancer,2432
2005,49,Female,Chronic lower respiratory disease,191
2005,49,Female,Diabetes,207
2005,49,Female,Drug overdose,404
2005,49,Female,Heart disease,1022
2005,49,Female,Homicide,52
2005,49,Female,Other causes,1684
2005,49,Female,Other unintentional injury,221
2005,49,Female,Stroke,300
2005,49,Female,Suicide,106
2005,49,Male,Alcohol-induced,584
2005,49,Male,Alzheimer disease,2
2005,49,Male,Cancer,2425
2005,49,Male,Chronic lower respiratory disease,196
2005,49,Male,Diabetes,351
2005,49,Male,Drug overdose,572
2005,49,Male,Heart disease,2648
2005,49,Male,Homicide,180
2005,49,Male,Other causes,2963
2005,49,Male,Other unintentional injury,652
2005,49,Male,Stroke,329
2005,49,Male,Suicide,465
2005,50,Female,Alcohol-induced,195
2005,50,Female,Alzheimer disease,5
2005,50,Female,Cancer,2715
2005,50,Female,Chronic lower respiratory disease,195
2005,50,Female,Diabetes,235
2005,50,Female,Drug overdose,353
2005,50,Female,Heart disease,1121
2005,50,Female,Homicide,45
2005,50,Female,Other causes,1818
2005,50,Female,Other unintentional injury,206
2005,50,Female,Stroke,287
2005,50,Female,Suicide,94
2005,50,Male,Alcohol-induced,595
2005,50,Male,Alzheimer disease,5
2005,50,Male,Cancer,2696
2005,50,Male,Chronic lower respiratory disease,182
2005,50,Male,Diabetes,361
2005,50,Male,Drug overdose,549
2005,50,Male,Heart disease,2881
2005,50,Male,Homicide,168
2005,50,Male,Other causes,3064
2005,50,Male,Other unintentional injury,665
2005,50,Male,Stroke,387
2005,50,Male,Suicide,423
2005,51,Female,Alcohol-induced,187
2005,51,Female,Alzheimer disease,5
2005,51,Female,Cancer,2788
2005,51,Female,Chronic lower respiratory disease,212
2005,51,Female,Diabetes,288
2005,51,Female,Drug overdose,320
2005,51,Female,Heart disease,1230
