year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,SD,Total,Both,1,73–74,73,0.02299347147345543,73804.140625,1697.013427734375,,,13.566738128662108,FALSE,0.023260895845996398
2019,SD,Total,Both,1,74–75,74,0.025777779519557953,72107.125,1858.7615966796875,,,12.874258995056152,FALSE,0.02611436468715739
2019,SD,Total,Both,1,75–76,75,0.028937386348843575,70248.3671875,2032.80419921875,,,12.201679229736328,FALSE,0.02936221929068052
2019,SD,Total,Both,1,76–77,76,0.032391902059316635,68215.5625,2209.6318359375,,,11.550385475158691,FALSE,0.03292515627803961
2019,SD,Total,Both,1,77–78,77,0.0360531210899353,66005.9296875,2379.7197265625,,,10.92031192779541,FALSE,0.03671496564096863
2019,SD,Total,Both,1,78–79,78,0.039932895451784134,63626.2109375,2540.77880859375,,,10.310047149658203,FALSE,0.04074645746476974
2019,SD,Total,Both,1,79–80,79,0.04415303468704224,61085.43359375,2697.107177734375,,,9.718085289001465,FALSE,0.04514978469184807
2019,SD,Total,Both,1,80–81,80,0.048730537295341485,58388.328125,2845.294677734375,,,9.14389228820801,FALSE,0.04994752208933356
2019,SD,Total,Both,1,81–82,81,0.053683064877986915,55543.03515625,2981.720458984375,,,8.586690902709961,FALSE,0.055163744310349504
2019,SD,Total,Both,1,82–83,82,0.05935420095920563,52561.31640625,3119.73486328125,,,8.045435905456543,FALSE,0.06116953540779333
2019,SD,Total,Both,1,83–84,83,0.06613412499427795,49441.58203125,3269.77587890625,,,7.5215482711792,FALSE,0.06839577227048621
2019,SD,Total,Both,1,84–85,84,0.07423117011785507,46171.8046875,3427.38720703125,,,7.018796920776367,FALSE,0.0770925034884877
2019,SD,Total,Both,1,85–86,85,0.08367288112640381,42744.41796875,3576.548583984375,,,6.5414958000183105,FALSE,0.08732630280323554
2019,SD,Total,Both,1,86–87,86,0.0928678512573242,39167.87109375,3637.43603515625,,,6.093164443969727,FALSE,0.097390053771103
2019,SD,Total,Both,1,87–88,87,0.1031164452433586,35530.43359375,3663.77197265625,,,5.665766716003418,FALSE,0.108721956057643
2019,SD,Total,Both,1,88–89,88,0.11460539698600768,31866.662109375,3652.091552734375,,,5.2596845626831055,FALSE,0.12157178852936086
2019,SD,Total,Both,1,89–90,89,0.12855671346187592,28214.5703125,3627.17236328125,,,4.875777721405029,FALSE,0.1373877737964324
2019,SD,Total,Both,1,90–91,90,0.1428881287574768,24587.3984375,3513.247314453125,,,4.521299362182617,FALSE,0.15388209075619744
2019,SD,Total,Both,1,91–92,91,0.15834704041481018,21074.150390625,3337.029296875,,,4.191685676574707,FALSE,0.1719618667465731
2019,SD,Total,Both,1,92–93,92,0.17491993308067322,17737.12109375,3102.575927734375,,,3.886232614517212,FALSE,0.19168466770439516
2019,SD,Total,Both,1,93–94,93,0.19257023930549624,14634.544921875,2818.177734375,,,3.604126214981079,FALSE,0.21308738352465906
2019,SD,Total,Both,1,94–95,94,0.21123650670051575,11816.3671875,2496.048095703125,,,3.3444533348083496,FALSE,0.23618159414789602
2019,SD,Total,Both,1,95–96,95,0.23083117604255676,9320.3193359375,2151.420166015625,,,3.106218099594116,FALSE,0.2609487267882235
2019,SD,Total,Both,1,96–97,96,0.2512407600879669,7168.8994140625,1801.1197509765625,,,2.8883562088012695,FALSE,0.2873360201380322
2019,SD,Total,Both,1,97–98,97,0.27232736349105835,5367.77978515625,1461.7933349609375,,,2.6897518634796143,FALSE,0.3152534313923527
2019,SD,Total,Both,1,98–99,98,0.2939315736293793,3905.986328125,1148.0926513671875,,,2.5092544555664062,FALSE,0.34457184610663033
2019,SD,Total,Both,1,99–100,99,0.3158767819404602,2757.8935546875,871.154541015625,,,2.345693349838257,FALSE,0.3751231246659208
2019,SD,Total,Both,1,100 and over,100,1,1886.739013671875,1886.739013671875,,,2.1978962421417236,TRUE,
2019,TN,Total,Both,1,0–1,0,0.006994845811277628,100000,699.48455810546875,,,75.60547637939453,FALSE,0.007019395606254684
2019,TN,Total,Both,1,1–2,1,4.7761047608219087e-4,99300.515625,47.42696762084961,,,75.13716125488281,FALSE,4.777245592092709e-4
2019,TN,Total,Both,1,2–3,2,2.1929293870925903e-4,99253.0859375,21.765501022338867,,,74.1728286743164,FALSE,2.1931698604244808e-4
2019,TN,Total,Both,1,3–4,3,2.0689952361863104e-4,99231.3203125,20.530912399291992,,,73.1889877319336,FALSE,2.0692092953950527e-4
