year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,age_center
2017,Total,Both,60,74,67,0.015138477725145323,0.07581595578455368,0.0013614112952013725,0.07287480549384621,0.07875710607526114,9.14249742533963,8.80107478679532,9.511478979089377,0.9958256952623522,0.021207741041916497,15,67
2017,Total,Male,60,74,67,0.01876166072129166,0.0713748162039112,0.0011849955972493954,0.0688147888575672,0.0739348435502552,9.711369043384831,9.375108504676788,10.072648511566618,0.9964294642887025,0.018459579298964975,15,67
2017,Total,Female,60,74,67,0.011893772373050336,0.08353768791063897,0.001606309444198422,0.08006746733481253,0.0870079084864654,8.297418780627627,7.966484801410534,8.657038915212095,0.9952164050136463,0.025022706103452783,15,67
2018,Total,Both,60,74,67,0.015076139292406109,0.0745999963767752,0.0013404097010451977,0.07170421727181849,0.07749577548173191,9.291517616959817,8.944322142093293,9.666756111880314,0.9958205230282818,0.020880583208055782,15,67
2018,Total,Male,60,74,67,0.018802730193116998,0.07004302597615791,9.885053318805343e-4,0.06790749004041685,0.07217856191189898,9.896019923466572,9.603227914210864,10.20722721672383,0.9974174511385535,0.015398700723997754,15,67
2018,Total,Female,60,74,67,0.011738361623941863,0.08258339659985178,0.0018588817974299194,0.07856752662861496,0.0865992665710886,8.393299489950858,8.00407680116952,8.82231133272681,0.993456497480075,0.02895721809153553,15,67
2019,Total,Both,60,74,67,0.014940843732588515,0.07282948401538175,0.0013154662381692542,0.06998759198580588,0.07567137604495762,9.51739793204564,9.159965323587285,9.903858111028049,0.9957767162062923,0.020492019881729464,15,67
2019,Total,Male,60,74,67,0.018621230509785956,0.06895251933757593,8.323786838506139e-4,0.06715427451867731,0.07075076415647455,10.052528714236727,9.797027478416485,10.321713480311121,0.9981091242139297,0.012966596970465106,15,67
2019,Total,Female,60,74,67,0.011646361334835471,0.07984471185555775,0.002124148898583929,0.07525576715339707,0.08443365655771842,8.68119083219783,8.209370632741853,9.210552317499781,0.9908831794621871,0.03308948584048348,15,67
2019,Hispanic,Both,60,74,67,0.011507869703278715,0.07632766252168585,9.651492569974745e-4,0.07424258431806016,0.07841274072531154,9.0812053934314,8.8397264800131925,9.336248016238992,0.9979257236963259,0.015034865349910984,15,67
2019,Hispanic,Male,60,74,67,0.014868441826507766,0.07488233443225199,1.6818041046264543e-4,0.07451900274485744,0.07524566611964655,9.256484667783075,9.211788748840187,9.301616433773054,0.9999344297346935,0.002619874395039037,15,67
2019,Hispanic,Female,60,74,67,0.008604455498702642,0.0826822680293688,0.0019286570205478439,0.07851565785311032,0.08684887820562728,8.38326278512025,7.981072350972906,8.828139501253467,0.992976275515799,0.03004415990569758,15,67
2019,American Indian or Alaska Native non-Hispanic,Both,60,74,67,0.023417626334990657,0.05334539490834791,4.430264478849826e-4,0.052388294456353145,0.05430249536034267,12.993571080518445,12.764554850754674,13.230955268784992,0.9991041824478225,0.006901360532692715,15,67
2019,American Indian or Alaska Native non-Hispanic,Male,60,74,67,0.02894606403331841,0.05065531130542182,7.530720810114994e-4,0.04902839798554737,0.052282224625296275,13.683603213504588,13.257798143206255,14.137667332395234,0.9971350276055159,0.01173117759216674,15,67
2019,American Indian or Alaska Native non-Hispanic,Female,60,74,67,0.01866700031160926,0.05722078972401922,0.001703944637286074,0.05353964113727853,0.060901938310759914,12.113554949224811,11.38136485940847,12.946429334157816,0.9886035709131412,0.026543643897107685,15,67
2019,Asian non-Hispanic,Both,60,74,67,0.007267167722689248,0.08999784385670154,4.2506603537392166e-4,0.08907954451695281,0.09091614319645026,7.701819853191197,7.62402755099502,7.781216039200019,0.9997100881108901,0.006621577502477561,15,67
2019,Asian non-Hispanic,Male,60,74,67,0.0095997748724062,0.08031238745208741,8.838886013772468e-4,0.07840286222186726,0.08222191268230755,8.630638467489982,8.430200149176244,8.840840256551505,0.9984278642668427,0.013769006202594863,15,67
2019,Asian non-Hispanic,Female,60,74,67,0.005418661215489096,0.104012816806016,5.962649318493354e-4,0.10272466473630078,0.10530096887573122,6.664055467824369,6.582533740766894,6.747621735629782,0.9995729657838356,0.009288473154004682,15,67
2019,Black non-Hispanic,Both,60,74,67,0.021728118777499382,0.06189531261448328,7.741376794564154e-4,0.0602228898359988,0.06356773539296776,11.198702313327543,10.90407226677176,11.50969643681247,0.9979705331512079,0.012059332469599789,15,67
2019,Black non-Hispanic,Male,60,74,67,0.0281357289886385,0.06180537291726534,0.0014806999307614213,0.05860651519722174,0.06500423063730894,11.214998758891308,10.663108750988217,11.827135229374706,0.9925937809653321,0.023065991007314983,15,67
2019,Black non-Hispanic,Female,60,74,67,0.016743505867844993,0.06547308664552355,8.374233525350783e-4,0.06366394348251678,0.06728222980853032,10.586749702403656,10.30208396083902,10.887594180374572,0.9978778053309213,0.013045181618234291,15,67
2019,White non-Hispanic,Both,60,74,67,0.01493873187544259,0.07370284402963227,0.0016609093382532426,0.07011466755404361,0.07729102050522094,9.404619179705806,8.96801693170973,9.885908394640467,0.9934414326667953,0.025873250254299887,15,67
2019,White non-Hispanic,Male,60,74,67,0.018469182585173383,0.06981099538250063,0.001089881501714135,0.06745644954693882,0.07216554121806244,9.92891129487741,9.60496060668989,10.275476773760923,0.9968415037453291,0.016977914562776975,15,67
2019,White non-Hispanic,Female,60,74,67,0.011695649978035511,0.08083821743937782,0.002540932969133072,0.07534886549468979,0.08632756938406584,8.574498578964215,8.029267886324677,9.199172091168311,0.9873189912238775,0.03958204886662957,15,67
2020,Total,Both,60,74,67,0.017500658634219547,0.07197453389820767,0.00123976136937767,0.06929619229431076,0.07465287550210457,9.630450424871821,9.284936124669498,10.002673416975796,0.9961577118533825,0.01931270745894932,15,67
2020,Total,Male,60,74,67,0.022027766026236913,0.06818180177792849,9.093885135581435e-4,0.06621718733669019,0.07014641621916679,10.166161094093114,9.881433976530792,10.467783493061178,0.9976927102723896,0.01416623776371841,15,67
2020,Total,Female,60,74,67,0.013450928148863376,0.07926420075667522,0.0017616637865821324,0.07545835752891762,0.08307004398443281,8.744769693543804,8.34412921088425,9.185823853829751,0.993619490811664,0.02744277906349358,15,67
2020,Hispanic,Both,60,74,67,0.017058784446141333,0.07386792884116103,4.352401850630339e-4,0.07292764958731779,0.07480820809500427,9.38360113020668,9.265656780331756,9.504586867701335,0.9995488785091682,0.006780067984148255,15,67
2020,Hispanic,Male,60,74,67,0.022780408606412093,0.07372288837697466,3.6230933346990284e-4,0.07294016664900235,0.07450561010494697,9.40206217932762,9.303288431348907,9.50295581165122,0.9996861216396005,0.005643968540868119,15,67
2020,Hispanic,Female,60,74,67,0.012102525638885715,0.07975265797166188,0.0013331780998098548,0.07687250179135005,0.08263281415197371,8.691211029057337,8.38827997900625,9.01684171072393,0.9963804501711214,0.020767931045657745,15,67
