from_year,to_year,age,cause,years_contributed,age_band
2005,2023,63,Alcohol-induced,-0.003390361661040231,60–69
2005,2023,63,Alzheimer disease,-3.104738013064434e-4,60–69
2005,2023,63,COVID-19,-0.0021205997861812875,60–69
2005,2023,63,Cancer,0.022505486115086626,60–69
2005,2023,63,Chronic lower respiratory disease,0.0023720923644958702,60–69
2005,2023,63,Diabetes,8.233266706838549e-4,60–69
2005,2023,63,Drug overdose,-0.006255129736530307,60–69
2005,2023,63,Heart disease,0.009069180883017225,60–69
2005,2023,63,Homicide,-2.58418890624057e-4,60–69
2005,2023,63,Other causes,-0.007437604602550607,60–69
2005,2023,63,Other unintentional injury,-1.3183035774488872e-4,60–69
2005,2023,63,Stroke,0.0010596577871950785,60–69
2005,2023,63,Suicide,-6.831363230688225e-4,60–69
2005,2023,64,Alcohol-induced,-0.002672574257239546,60–69
2005,2023,64,Alzheimer disease,-3.537616686344336e-5,60–69
2005,2023,64,COVID-19,-0.0021583551860899775,60–69
2005,2023,64,Cancer,0.021729556407656503,60–69
2005,2023,64,Chronic lower respiratory disease,0.0021680012799336623,60–69
2005,2023,64,Diabetes,7.227856142932865e-4,60–69
2005,2023,64,Drug overdose,-0.005838365925924904,60–69
2005,2023,64,Heart disease,0.009006411838413442,60–69
2005,2023,64,Homicide,-9.472174943425671e-5,60–69
2005,2023,64,Other causes,-0.007055409293514003,60–69
2005,2023,64,Other unintentional injury,1.413119076190128e-4,60–69
2005,2023,64,Stroke,8.27650594622753e-4,60–69
2005,2023,64,Suicide,-6.466512675658009e-4,60–69
2005,2023,65,Alcohol-induced,-0.0024471289626220027,60–69
2005,2023,65,Alzheimer disease,-4.177396030868863e-4,60–69
2005,2023,65,COVID-19,-0.0023820140943939805,60–69
2005,2023,65,Cancer,0.0213379073463571,60–69
2005,2023,65,Chronic lower respiratory disease,0.002437729535820665,60–69
2005,2023,65,Diabetes,8.516872556683097e-4,60–69
2005,2023,65,Drug overdose,-0.004761929987552094,60–69
2005,2023,65,Heart disease,0.008582020494358744,60–69
2005,2023,65,Homicide,-1.9827382899961776e-5,60–69
2005,2023,65,Other causes,-0.007071038330948909,60–69
