age,cause,mx_2005,mx_2023,from_year,to_year,change,age_band
37,Stroke,3.725782796355869e-5,3.173488844486078e-5,2005,2023,-5.522939518697906e-6,30–39
37,Suicide,1.0936975305431743e-4,1.7594512981334377e-4,2005,2023,6.657537675902634e-5,30–39
38,Alcohol-induced,5.0960131198704665e-5,1.4956095503439553e-4,2005,2023,9.860082383569087e-5,30–39
38,Alzheimer disease,4.853345828448063e-7,0,2005,2023,-4.853345828448063e-7,30–39
38,Cancer,2.4193928954813594e-4,1.944734903479788e-4,2005,2023,-4.746579920015715e-5,30–39
38,Chronic lower respiratory disease,1.2376031862542562e-5,1.1283444832476586e-5,2005,2023,-1.0925870300659763e-6,30–39
38,Diabetes,3.664276100478288e-5,5.1992343835921526e-5,2005,2023,1.534958283113865e-5,30–39
38,Drug overdose,1.8855248543520726e-4,6.044386525946281e-4,2005,2023,4.158861671594208e-4,30–39
38,Heart disease,2.1112054353749073e-4,2.0177454288664013e-4,2005,2023,-9.346000650850604e-6,30–39
38,Homicide,6.84321761811177e-5,9.756861119847402e-5,2005,2023,2.9136435017356325e-5,30–39
38,Other causes,4.6592119953101405e-4,4.53107745429648e-4,2005,2023,-1.2813454101366075e-5,30–39
38,Other unintentional injury,1.9097915834943128e-4,1.7788018912374853e-4,2005,2023,-1.3098969225682747e-5,30–39
38,Stroke,3.2760084342024424e-5,4.115138703609108e-5,2005,2023,8.391302694066658e-6,30–39
38,Suicide,1.1769363633986554e-4,1.869511937929944e-4,2005,2023,6.925755745312887e-5,30–39
39,Alcohol-induced,6.675392999793594e-5,1.5866216541326862e-4,2005,2023,9.190823541533268e-5,30–39
39,Alzheimer disease,2.3504904928850685e-7,0,2005,2023,-2.3504904928850685e-7,30–39
39,Cancer,2.7312699527324495e-4,2.1804714732509203e-4,2005,2023,-5.5079847948152915e-5,30–39
39,Chronic lower respiratory disease,1.8803923943080545e-5,1.4279594887194176e-5,2005,2023,-4.524329055886369e-6,30–39
39,Diabetes,5.288603608991404e-5,5.825168073030005e-5,2005,2023,5.365644640386014e-6,30–39
39,Drug overdose,1.751115417199376e-4,6.405418277969959e-4,2005,2023,4.654302860770583e-4,30–39
39,Heart disease,2.5361792418229887e-4,2.2824685795880216e-4,2005,2023,-2.537106622349671e-5,30–39
